Favorite,Id,Coin,Buy,Price,1h,24h,7d,30d,Volume in 24h,MarketCapitalization,FDV,FDVCapitalization,VariationGraph
,4596.0,MTG Token  MTG,,"R$ 0,001873",19.3%,87.3%,76.4%,88.0%,R$ 167.788,R$ 1.870.615,R$ 1.870.615,10.0,
,4597.0,Arcade  ARC,,"R$ 0,04197",0.2%,4.0%,5.7%,37.3%,"R$ 28.160,08",R$ 1.868.925,R$ 33.578.727,6.0,
,4601.0,Opus CASH  CASH,,"R$ 5,82",0.1%,0.2%,0.0%,0.0%,R$ 194.215,R$ 1.870.431,R$ 1.870.431,10.0,
,4594.0,Step Staked SOL  STEPSOL,,"R$ 700,70",0.3%,10.6%,42.8%,9.5%,R$ 241.568,R$ 1.868.083,R$ 1.868.083,10.0,
,4600.0,Keefer Bunny  KFR,,"R$ 0,001898",10.1%,81.3%,33.0%,-,R$ 453.807,R$ 1.865.243,R$ 1.865.243,10.0,
,4602.0,autism  AUTISM,,"R$ 0,00197",0.0%,26.0%,2.3%,26.8%,R$ 184.632,R$ 1.869.476,R$ 1.869.476,10.0,
,4603.0,Vaultka  VKA,,"R$ 0,04529",0.4%,9.6%,8.3%,8.0%,"R$ 4.891,05",R$ 1.865.668,R$ 4.537.092,41.0,
,4605.0,SENSUS  SENSUS,,"R$ 0,001972",0.4%,7.1%,25.0%,62.7%,"R$ 57.203,08",R$ 1.864.539,R$ 1.864.539,10.0,
,4604.0,Ferrum Network  FRM,,"R$ 0,006499",1.3%,15.8%,3.7%,0.5%,R$ 1.182.500,R$ 1.865.334,R$ 3.880.576,48.0,
,4606.0,f(x) Protocol Morpho USDC  FXUSDC,,"R$ 5,98",0.0%,0.0%,0.0%,0.2%,"$0,00",R$ 1.855.816,R$ 1.855.816,10.0,
,4607.0,catwifbag  BAG,,"R$ 0,001857",0.3%,5.7%,5.8%,27.2%,"R$ 19.270,13",R$ 1.854.751,R$ 1.854.751,10.0,
,4608.0,Bop Cat  BOP,,"R$ 0,001863",1.2%,13.4%,20.1%,31.0%,"R$ 77.764,55",R$ 1.851.932,R$ 1.851.932,10.0,
,4609.0,Anon  ANON,,"R$ 0,001854",0.0%,7.4%,20.9%,39.5%,R$ 3.209.121,R$ 1.854.455,R$ 1.854.455,10.0,
,4610.0,Barry the badger  BARRY,,"R$ 0,0019",0.7%,8.0%,3.8%,9.7%,R$ 1.697.472,R$ 1.851.441,R$ 1.851.441,10.0,
,4611.0,Hempcoin  THC,,"R$ 0,006939",0.0%,0.4%,14.2%,15.2%,"R$ 0,08326",R$ 1.856.802,R$ 1.927.230,96.0,
,4613.0,Bitcoin Maxi Tears  BMT,,"R$ 0,00315",1.7%,7.1%,5.8%,43.2%,"R$ 8.481,50",R$ 1.852.260,R$ 1.852.260,10.0,
,4615.0,ai16zeliza  ELIZA,,"R$ 0,001925",1.5%,11.1%,9.5%,56.7%,R$ 653.245,R$ 1.850.106,R$ 1.850.106,10.0,
,4616.0,Krex  KREX,,"R$ 0,00008925",0.3%,5.2%,14.5%,1.2%,R$ 154.141,R$ 1.848.357,R$ 1.848.357,10.0,
,4617.0,Frencoin  FREN,,"R$ 0,05747",0.7%,9.4%,13.4%,21.1%,"R$ 17.472,14",R$ 1.849.136,R$ 5.108.293,36.0,
,4614.0,AGIX  AGX,,"R$ 0,01849",0.6%,5.6%,11.5%,49.5%,"R$ 15.552,99",R$ 1.849.335,R$ 1.849.335,10.0,
,4619.0,WORK  WORK,,"R$ 0,001839",1.5%,10.5%,8.3%,26.6%,"R$ 56.632,85",R$ 1.841.919,R$ 1.841.919,10.0,
,4618.0,RoOLZ  GODL,,"R$ 0,004652",0.0%,6.4%,25.5%,26.4%,R$ 326.390,R$ 1.840.275,R$ 3.716.109,5.0,
,4620.0,TheCat  THECAT,,"R$ 0,002339",1.2%,10.5%,1.2%,7.9%,"R$ 3.202,68",R$ 1.838.707,R$ 1.838.707,10.0,
,4621.0,Syncus  SYNC,,"R$ 0,0004281",0.3%,1.6%,23.9%,5.5%,R$ 151.913,R$ 1.839.849,R$ 1.839.849,10.0,
,4622.0,Boppy The Bat  BOPPY,,"R$ 0,084371",0.6%,15.0%,4.0%,0.6%,"R$ 33.049,95",R$ 1.839.042,R$ 1.839.042,10.0,
,4625.0,xHaven  XVN,,"R$ 0,03546",0.7%,24.6%,10.2%,2.6%,"R$ 1.640,91",R$ 1.838.240,R$ 8.865.907,21.0,
,4623.0,Vault Overflow  VAULT,,"R$ 0,4991",0.0%,0.9%,4.9%,12.1%,"R$ 1.008,99",R$ 1.836.672,R$ 4.971.812,37.0,
,4624.0,Synthetix USDx  USDX,,"R$ 5,74",0.0%,0.1%,1.2%,1.5%,"R$ 1.779,48",R$ 1.831.788,R$ 1.831.788,10.0,
,4627.0,Civilization  CIV,,"R$ 0,00669",-,-,-,-,"R$ 237,09",R$ 1.951.189,R$ 2.006.918,97.0,
,4628.0,Atari  ATRI,,"R$ 0,001288",-,-,-,-,"R$ 126,84",R$ 1.939.161,R$ 2.544.696,76.0,
,4632.0,DEEPSPACE  DPS,,"R$ 0,03034",0.3%,1.6%,14.4%,9.1%,"R$ 178,41",R$ 1.826.706,R$ 2.702.700,68.0,
,4626.0,Deployyyyer  DEPLOY,,"R$ 0,001851",0.6%,18.8%,8.2%,21.6%,"R$ 9.543,08",R$ 1.828.353,R$ 1.828.353,10.0,
,4629.0,Boys Club  BOYS,,"R$ 0,051827",0.5%,5.9%,27.4%,59.8%,"R$ 1.850,05",R$ 1.824.856,R$ 1.824.856,10.0,
,4630.0,Black Agnus  FTW,,"R$ 0,073036",0.5%,1.1%,16.7%,99.0%,"R$ 22.261,82",R$ 1.821.638,R$ 1.821.638,10.0,
,4631.0,Liquid Cat  CAT,,"R$ 1,58",0.0%,101.0%,25.8%,225.5%,"R$ 6.223,90",R$ 1.822.549,R$ 1.822.549,10.0,
,4633.0,Meme Anarchic Numismatic Asset  MANA,Comprar,"R$ 0,001821",4.2%,4.7%,10.4%,4.1%,"R$ 45.021,80",R$ 1.821.545,R$ 1.821.545,10.0,
,4634.0,Masari  MSR,,"R$ 0,1006",-,-,-,-,"R$ 254,09",R$ 1.810.127,R$ 1.861.698,97.0,
,4635.0,Aleph.im (Wormhole)  ALEPH,,"R$ 0,2673",0.3%,6.6%,20.3%,26.4%,"R$ 95.953,42",R$ 1.819.878,R$ 1.819.878,10.0,
,4636.0,DPRating  RATING,,"R$ 0,0004136",0.1%,0.5%,4.0%,1.5%,R$ 137.359,R$ 1.819.942,R$ 4.135.792,44.0,
,4637.0,Universe.XYZ  XYZ,,"R$ 0,002452",0.0%,8.6%,13.7%,61.2%,"R$ 2.100,03",R$ 1.818.177,R$ 2.779.737,65.0,
,4649.0,Metadrip  DRIP,,"R$ 0,001815",3.8%,4.0%,50.3%,61.1%,R$ 242.725,R$ 1.816.168,R$ 1.816.168,10.0,
,4646.0,meow meow meow meow  MEOW,,"R$ 0,001816",2.7%,31.2%,10.9%,32.8%,"R$ 81.122,73",R$ 1.816.001,R$ 1.816.001,10.0,
,4638.0,Bitcoin Plus  XBC,,"R$ 7,05",-,-,-,-,"R$ 1,77",R$ 1.814.147,R$ 7.053.846,26.0,
,4639.0,Axoria  AX,,"R$ 0,01811",0.7%,22.2%,9.7%,33.5%,"R$ 18.712,15",R$ 1.811.492,R$ 1.811.492,10.0,
,4641.0,TOR  TOR,,"R$ 0,1062",-,0.5%,0.6%,38.5%,"R$ 6,87",R$ 1.813.579,R$ 1.813.579,10.0,
,4642.0,Finceptor  FINC,,"R$ 0,05781",1.7%,2.7%,11.8%,21.4%,"R$ 32.475,06",R$ 1.811.985,R$ 5.776.648,31.0,
,4786.0,Niftyx Protocol  SHROOM,,"R$ 0,03527",12.6%,22.0%,0.6%,4.4%,R$ 112.225,R$ 1.812.378,R$ 2.312.200,78.0,
,4643.0,Based Monsta  MONSTA,,"R$ 0,0001949",0.1%,39.3%,9.6%,14.3%,"R$ 21.808,17",R$ 1.809.470,R$ 1.919.680,94.0,
,4645.0,Taki Games  TAKI,,"R$ 0,001546",0.3%,0.9%,4.1%,47.4%,"R$ 56.661,64",R$ 1.809.685,R$ 4.636.775,39.0,
,4644.0,Regent Coin  REGENT,,"R$ 0,6282",4.4%,1.4%,2.0%,6.6%,R$ 10.458.911,R$ 1.808.285,R$ 1.816.828,10.0,
,4647.0,Chumbi Valley  CHMB,,"R$ 0,00008574",0.5%,6.5%,15.3%,17.5%,R$ 1.360.944,R$ 1.805.700,R$ 2.345.673,77.0,
,4640.0,QUBI Tokenized RWA  $QBIT,,"R$ 0,00181",1.3%,5.8%,5.3%,0.0%,"R$ 28.538,74",R$ 1.809.438,R$ 1.809.438,10.0,
,4693.0,DOGMI  DOGMI,,"R$ 0,00008485",20.0%,136.7%,68.1%,97.5%,R$ 153.970,R$ 1.802.703,R$ 2.101.919,86.0,
,4650.0,Changer  CNG,,"R$ 0,04298",0.0%,2.6%,12.8%,35.9%,"R$ 435,46",R$ 1.796.935,R$ 8.595.464,21.0,
,4651.0,Shroom  SHROOM,,"R$ 0,001261",-,11.9%,0.4%,8.2%,"R$ 677,30",R$ 1.791.041,R$ 1.791.041,10.0,
,4652.0,Starcoin  STC,,"R$ 0,00548",1.4%,1.3%,4.3%,43.7%,R$ 101.664,R$ 1.793.467,R$ 1.793.467,10.0,
,4653.0,Briun Armstrung  BRIUN,,"R$ 0,002321",2.4%,20.0%,4.1%,15.2%,"R$ 7.185,64",R$ 1.792.797,R$ 1.792.797,10.0,
,4677.0,Alaska Gold Rush  CARAT,,"R$ 0,005561",2.0%,1.0%,19.7%,19.2%,R$ 145.022,R$ 1.792.567,R$ 5.206.835,34.0,
,4655.0,Bitcointry Token  BTTY,,"R$ 0,003637",0.3%,2.6%,20.6%,20.6%,"R$ 64.315,38",R$ 1.789.632,R$ 1.818.310,98.0,
,4654.0,Skale IMA Bridged USDC (Skale)  USDC,Comprar,"R$ 5,86",0.1%,0.0%,0.0%,0.1%,"R$ 65.054,06",R$ 1.788.217,R$ 1.788.217,10.0,
,4656.0,Piccolo Inu  PINU,,"R$ 0,071784",-,2.2%,15.1%,17.9%,"R$ 1.217,57",R$ 1.784.351,R$ 1.784.351,10.0,
,4657.0,MetaVPad  METAV,,"R$ 0,008083",0.7%,6.2%,2.5%,4.5%,"R$ 16.703,41",R$ 1.779.961,R$ 15.806.749,11.0,
,4658.0,Murad  MURAD,,"R$ 0,001779",1.4%,7.4%,15.3%,22.0%,"R$ 22.981,80",R$ 1.781.829,R$ 1.781.829,10.0,
,4659.0,Cirus  CIRUS,,"R$ 0,008405",0.4%,11.9%,10.0%,23.9%,R$ 412.179,R$ 1.779.940,R$ 1.794.978,99.0,
,4660.0,NumberGoUpTech  TECH,,"R$ 0,00002726",0.7%,11.4%,8.2%,30.2%,"R$ 5.571,92",R$ 1.777.751,R$ 1.777.751,10.0,
,4661.0,Capricorn  CAPRICORN,,"R$ 0,001775",0.8%,11.8%,24.7%,4.8%,"R$ 2.212,23",R$ 1.776.263,R$ 1.776.263,10.0,
,4504.0,Equilibria  XEQ,,"R$ 0,02915",8.0%,5.7%,0.6%,14.8%,"R$ 12.258,44",R$ 1.774.697,R$ 2.448.598,72.0,
,4662.0,TIMES  $TIMES,,"R$ 0,006679",0.0%,2.2%,17.9%,33.4%,"R$ 69.620,56",R$ 1.773.820,R$ 6.677.924,27.0,
,4667.0,Apillon  NCTR,,"R$ 0,05217",0.3%,1.1%,10.1%,27.8%,"R$ 11.813,62",R$ 1.772.649,R$ 7.826.201,23.0,
,4663.0,Choruz AI  CHORUZ,,"R$ 0,001826",1.2%,27.1%,5.6%,52.2%,"R$ 37.002,45",R$ 1.770.175,R$ 1.815.574,97.0,
,4664.0,OcNest AI  OCAI,,"R$ 0,1772",0.6%,15.1%,17.0%,34.2%,"R$ 7.505,44",R$ 1.771.581,R$ 1.771.581,10.0,
,4665.0,BangChain AI  BANGCHAIN,,"R$ 0,001768",0.8%,1.2%,20.9%,1.0%,"R$ 46.244,08",R$ 1.771.370,R$ 1.771.370,10.0,
,4666.0,ARTH  ARTH,,"R$ 4,03",-,2.5%,58.3%,10.9%,"R$ 17,48",R$ 1.770.653,R$ 1.770.653,10.0,
,4668.0,Friends With Benefits Pro  FWB,,"R$ 2,96",0.5%,9.8%,5.3%,29.5%,"R$ 315,38",R$ 1.765.814,R$ 2.955.516,6.0,
,4682.0,Convo  CONVO,,"R$ 0,001766",0.9%,18.0%,14.6%,46.1%,"R$ 22.058,15",R$ 1.767.306,R$ 1.767.306,10.0,
,4648.0,Super Useless Token  SUT,,"R$ 0,05295",0.6%,8.6%,29.5%,37.4%,"R$ 23.824,06",R$ 1.764.770,R$ 3.413.681,52.0,
,4669.0,Metaverse Face  MEFA,,"R$ 0,0001854",2.2%,4.8%,9.1%,4.3%,R$ 329.779,R$ 1.762.563,R$ 1.854.057,95.0,
,4670.0,Olyn by Virtuals  OLYN,,"R$ 0,001755",1.6%,4.7%,22.5%,28.7%,"R$ 2.450,26",R$ 1.754.418,R$ 1.754.418,10.0,
,4671.0,ChatGPT's Mascot  CHATTY,,"R$ 0,001761",1.1%,12.7%,1.2%,180.3%,R$ 271.069,R$ 1.762.667,R$ 1.762.667,10.0,
,4672.0,Nothing  NOT,,"R$ 0,073293",0.0%,10.6%,5.7%,4.0%,"R$ 7.900,55",R$ 1.760.549,R$ 2.929.608,6.0,
,4673.0,New Order  NEWO,,"R$ 0,01062",-,-,-,-,"R$ 303,04",R$ 1.801.605,R$ 8.493.353,21.0,
,4674.0,Investin  IVN,,"R$ 0,5984",0.5%,10.8%,3.5%,7.8%,"R$ 11,84",R$ 1.760.366,R$ 5.407.267,33.0,
,4675.0,Lock In on Base  $LOCKIN,,"R$ 0,001742",-,-,-,-,"R$ 11,01",R$ 1.741.509,R$ 1.741.509,10.0,
,4676.0,SafeMoon Inu  SMI,,"R$ 0,051814",-,-,-,-,"R$ 3.348,79",R$ 1.814.105,R$ 1.814.105,10.0,
